urls,category,keyword1,freq1,keyword2,freq2,keyword3,freq3,keyword4,freq4,keyword5,freq5,keyword6,freq6,keyword7,freq7,keyword8,freq8,keyword9,freq9,keyword10,freq10
http://34o4m3f26ucyeddzpf53bksy76wd737nf2fytslovwd3viac3by5chad.onion/leaks,leak,frag,1,blog,1,,,,,,,,,,,,,,,,
http://blogvl7tjyjvsfthobttze52w36wwiz34hrfcmorgvdzb6hikucb7aqd.onion/news.php?page=1,leak,news,1,need,1,enable,1,javascript,1,,,,,,,,,,,,
http://z6wkgghtoawog5noty5nxulmmt2zs7c3yvwr22v4czbffdoly2kl4uad.onion/,leak,uncategorized,12,published,11,categorized,11,files,11,information,9,data,7,price,7,descriptionemployee,6,customer,6,email,6
http://j5o5y2feotmhvr7cbcp2j2ewayv5mn5zenl3joqwx67gtfchhezjznad.onion/,leak,data,1,leak,1,site,1,,,,,,,,,,,,,,
http://ciphbitqyg26jor7eeo6xieyq7reouctefrompp6ogvhqjba7uo4xdid.onion/,leak,,,,,,,,,,,,,,,,,,,,
http://hptqq2o2qjva7lcaaq67w36jihzivkaitkexorauw7b2yul2z6zozpqd.onion/list,leak,chaos,1,,,,,,,,,,,,,,,,,,
http://yrz6bayqwhleymbeviter7ejccxm64sv2ppgqgderzgdhutozcbbhpqd.onion/,leak,learn,13,updated,13,company,7,data,7,business,6,offer,6,solutions,5,sunlux,5,support,4,brazil,4
http://intelrepository.com/,leak,,,,,,,,,,,,,,,,,,,,
http://zohlm7ahjwegcedoz7lrdrti7bvpofymcayotp744qhx6gjmxbuo2yid.onion/,leak,ransomhouse,1,need,1,enable,1,javascript,1,,,,,,,,,,,,
https://synscan.net/breaches-index,leak,data,17,records,14,imported,12,addresses,11,breach,10,numbers,8,names,8,email,8,date,7,lines,7
https://www.dehashed.com/data,leak,data,12,date,8,wells,7,services,6,count,6,dehashed,5,name,4,desc,4,search,3,blog,3
http://ks5424y3wpr5zlug5c7i6svvxweinhbdcqcfnptkfcutrncfazzgz5id.onion/posts.php,leak,disclosures,138,announcement,9,supply,9,company,6,solutions,4,global,4,medical,4,important,3,status,3,featured,3
http://nsalewdnfclsowcal6kn5csm4ryqmfpijznxwictukhrgvz2vbmjjjyd.onion/,leak,,,,,,,,,,,,,,,,,,,,
http://7ukmkdtyxdkdivtjad57klqnd3kdsmq6tp45rrsxqnu76zzv3jvitlqd.onion/,leak,leak,38,data,34,expired,26,includes,20,site,20,https,20,full,19,stolen,19,dump,14,information,12
http://cicadabv7vicyvgz5khl7v2x5yygcgow7ryy6yppwmxii4eoobdaztqd.onion/,leak,anti,2,ddos,2,defense,1,initializing,1,please,1,wait,1,check,1,progress,1,,,,
http://vkvsgl7lhipjirmz6j5ubp3w3bwvxgcdbpi3fsbqngfynetqtw4w5hyd.onion/,leak,download,20,brain,2,cipher,2,leaks,1,main,1,rules,1,jorgefernandez,1,open,1,iycsa,1,edisoft,1
http://black3gnkizshuynieigw6ejgpblb53mpasftzd6pydqpmq2vn2xf6yd.onion/,leak,blackout,2,gateway,2,created,1,fabric,1,checking,1,human,1,stay,1,please,1,enable,1,javascript,1
http://3ev4metjirohtdpshsqlkrqcmxq6zu3d7obrdhglpy5jpbr7whmlfgqd.onion/,leak,abyss,4,data,3,free,1,publish,1,freely,1,available,1,loading,1,close,1,copyright,1,business,1
https://leak-lookup.com/breaches#phonemondo-com,leak,information,4451,info,25,forum,17,online,14,club,13,hack,8,onion,7,collection,6,indexed,5,name,5
https://b1nd.net/resources/,leak,records,31,whlx,30,database,28,exposed,27,official,25,data,24,leaked,24,user,24,datasets,21,breach,15
https://www.csidb.net/csidb/actors/88d6ccdf-1758-4014-b7ff-bfdffb7c2c1e/,leak,attacks,27,russian,26,turk,22,hack,22,team,22,websites,22,group,21,turkish,19,cyber,18,government,14
https://www.ransomlook.io/leaks,leak,info,25,forum,17,online,14,club,13,hack,8,onion,7,collection,6,life,5,game,5,forums,4
http://ransomocmou6mnbquqz44ewosbkjk3o5qjsl3orawojexfook2j7esad.onion/,leak,everest,1,group,1,news,1,project,1,rights,1,reserved,1,,,,,,,,
https://handala-hack.to/,leak,,,,,,,,,,,,,,,,,,,,
http://nerqnacjmdy3obvevyol7qhazkwkv57dwqvye5v46k5bcujtfa6sduad.onion/,leak,created,19,pixso,19,stolen,2,data,2,bouey,2,black,2,inspiredbeauty,2,mcparlane,2,social,1,media,1
http://ebhmkoohccl45qesdbvrjqtyro2hmhkmh6vkyfyjjzfllm3ix72aqaid.onion/leaks.php,leak,files,51,https,49,size,49,folders,49,school,43,services,31,district,23,data,22,company,20,employees,16
http://rnsm777cdsjrsdlbs4v5qoeppu3px6sb2igmh53jzrx7ipcrbjz5b2ad.onion/index2.html,leak,date,10,tags,10,kenya,5,trinidad,5,tobago,5,peru,4,italy,3,indonesia,3,qatar,3,leak,3
https://ransom.wiki/,leak,services,16,victime,15,disclaimer,14,terms,7,operator,7,information,7,ransom,5,agreement,5,agree,5,ransomware,4
https://zone-xsec.com/archive/page=1,leak,mirror,32,indonesian,30,black,30,hunter,30,archive,3,zone,2,xsec,2,special,2,attacker,2,rank,2
http://tzhwmgguyxrg6q3tu4q3gvopcjynrhw6ryx2bdl5ghisdkyunfua5xyd.onion/,leak,,,,,,,,,,,,,,,,,,,,
http://224uqojvbrdcnd3lozruhpdkq7luucwjbwxwmoj4hslhwsh6lnwqzyad.onion/,other,,,,,,,,,,,,,,,,,,,,
http://33buewrpzrfpttl7kerqvtvzyo3ivumilwwmeqjryzajusltibaqc6ad.onion/,other,securedrop,7,browser,5,security,5,level,5,click,4,change,3,restart,3,english,3,toolbar,2,safest,2
http://3bu5sy446zbvqugbomvulx4ev43s2tgqcilvsg5oqlvguuziutljzgad.onion/,other,chat,4,truncation,2,poofed,1,database,1,damage,1,routine,1,occured,1,either,1,incomplete,1,corruption,1
http://3diyitjbsid5zz6roxmvxzj2vdma3cfkrtlacusz2eag4yyezecsufad.onion/,other,coredir,3,trusted,3,scam,2,fight,2,directory,2,explore,2,network,2,vendors,2,markets,2,wiki,2
http://3ewfgrt4gzfccp6bnquhqb266r3zepiqpnsk3falwygkegtluwuyevid.onion/,other,information,21,install,21,true,21,connections,16,shows,12,sudo,11,options,10,package,10,bandwidth,9,connection,9
http://3m2pgmhdsgrneurfbi5oxelzbytcgxaeajsmtxuijhen3l3asu3c5yad.onion/en,other,filter,81,apply,80,shop,19,discussion,13,presentation,13,bookfair,12,course,11,workshop,11,book,11,august,9
http://3rxmd6axktknjyf6cygtllkimldw5vfxveylmprvtmszb5gmmmuuheyd.onion/,other,toggle,1,navigation,1,,,,,,,,,,,,,,,,
http://3sxff6dnurayvdzzdte7vdzaodc4psgimnn5uswkhr6llhcyy5gfsvad.onion/,other,golovaadama,1,,,,,,,,,,,,,,,,,,
https://3vynrelomm3k43lqhetkztg2o25eif4hrppodo225gqhvglxv3bc7jqd.onion/,other,contenido,6,esta,6,inicio,4,audiocinemateca,3,para,3,cuenta,3,usuario,3,nueva,3,principal,2,crear,2
